Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.60091302,20.11332687,12.21619037,2.092910106,3.831273603,0.275949465,0.989467955,2.284429865,-2.079503787,-2.311932102,4.22698289,-0.141879498,-0.727457998,5.427607588,-5.107188391,-5.405878435,-0.152950664,6.031742435,-0.094958446,0.245882556,1.41000954,-0.224764201,-10.60529961,-3.887759853,3.063882371,-1.864167717,3.593197948,-0.294411895,5.125615922,1.583035098,1.521780328,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.868361903,-2.875183528,7.207933018,2.253357413,11.02277394,1.59421129,18.51536871,11.26413324,-2.681080849,8.974879568,1.974168629,-0.665270518,-1.622886672,-0.541697283,0.082078929,-0.559824441,0.549627731
Angola,,,,,,,,,,,,,,,,,,,,,,-7.709947122,-3.4905143,0.548367121,2.288440878,-0.107675791,-0.670689621,0.488389654,2.496667663,-3.335903578,-6.657532178,-2.310859752,-8.876967191,-26.41177043,-1.87781639,11.3594812,9.952817382,3.877850429,1.364723786,-1.085279543,-0.267944537,0.822113704,9.943764019,-0.431850563,7.187035527,11.0308358,7.58232901,9.890011506,7.116873151,-2.808634457,1.079147688,-0.220846528,4.70645928,1.292085637,1.219832787,-2.468715169,-5.81623672,-3.409903308,-5.162050365,-4.032613542
Albania,,,,,,,,,,,,,,,,,,,,,,3.648648547,0.795840071,-1.016802172,-3.307497203,-0.290595348,3.614655544,-2.74949638,-3.262522334,6.923617284,-11.1879053,-27.56682084,-6.622551214,10.22994936,8.969761653,14.02449593,9.780179886,-10.36110498,9.51715258,13.60715645,7.633866403,9.311123961,4.853922135,5.925630153,5.951880823,6.071390912,6.570331606,6.783926591,8.328035999,4.048888488,4.223037747,2.821557928,1.585156475,1.187203907,1.985426103,2.516852986,3.480117005,3.897710666,4.328395578,2.650431413
Andorra,,,,,,,,,,,,-0.603684765,2.788907252,2.672409324,1.010490232,-3.33802602,-0.18117565,-0.280692815,-1.442215406,-3.064448989,-1.330760035,-3.948745552,-2.931372609,-2.595335898,-2.598351728,-2.023786568,-1.001824036,1.325672934,0.97048769,0.801682525,-0.142614682,-1.366129581,-2.87054458,-4.412622893,-0.403571698,0.869722421,3.820477136,9.123624337,3.492427355,3.730359531,1.913451853,4.986929232,0.504740651,4.040888143,3.792889484,1.892420874,2.057546351,-0.523712361,-6.885785763,-5.976668089,-1.958707356,0.830101584,-3.452688295,-1.573745735,4.524455557,2.997046098,4.667654578,0.731812819,1.582169331,1.669679827
Arab World,,,,,,,,,,,,,,,,,12.26731411,4.809279689,-3.845663431,7.959083675,5.68455691,-0.290452906,-11.86502858,-9.650744383,-1.656097031,-5.156979313,1.691630783,-3.3114228,2.66811875,-0.437514276,9.098547474,-1.183338172,3.07830508,0.557170817,0.588981379,-0.354326943,2.216183582,1.948561939,3.027734986,-0.352708151,3.237234582,-0.572753698,-1.54393583,3.075857844,6.925001184,3.364975971,4.029025868,2.071203718,3.274463843,-1.96007227,2.206360856,1.452510748,4.212686552,0.93903838,0.281233064,1.057981313,1.374916531,-0.796334151,0.170654445,-0.437826241
Argentina,,3.72878832,-2.425908029,-6.788178178,8.437233741,8.896769815,-2.136468671,1.678466146,3.286928565,8.050283806,1.479498527,4.007465118,0.005811414,1.156920954,3.851782454,-1.587844785,-3.506387214,5.342986096,-5.916418784,8.577753769,-0.029632055,-6.668514496,-2.307755905,2.681981722,-0.051839979,-6.692587785,4.484309572,1.106051555,-2.603254489,-8.540824598,-3.874103165,7.614342819,6.487606324,6.802920861,4.505472299,-4.032155953,4.27459837,6.864754271,2.680954121,-4.455157264,-1.874912415,-5.447091545,-11.85477684,7.676545539,7.884937565,7.729475205,6.955547382,7.924238139,3.029477312,-6.854227333,9.300128322,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.609282344,-3.467376243,-3.130051379
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.87089605,-40.74445259,-6.638468181,7.949920792,9.103521626,7.50696854,4.47964116,8.142263813,3.957617364,6.570363869,10.27915142,13.82342535,14.60612499,11.13382322,14.64312949,14.0786439,14.69598355,7.819137246,-13.5192417,2.582648083,4.728426776,6.914143641,2.82388904,3.07285853,2.736128725,-0.16150062,7.183757928,4.95169918,7.383361638
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095753115,0.240184563,-0.202616989,-3.428950886,3.259806828,-1.134692886,-2.870528545,1.524295609,0.869269598,-4.234377289,-2.836798492,0.803753378,1.365901551,-2.645383249,-5.64961891,2.470435213,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,4.590591397,8.226289413,8.313536907,3.924106611,-0.050048688,5.350374048,10.1667786,7.643793597,11.551603,6.690292492,5.121295811,4.849991256,2.154973552,0.824017827,-0.573906707,3.189739406,4.411048289,-6.40127325,4.321503401,3.219147342,2.55727792,1.694122125,4.808187364,-6.426319008,-0.373294901,4.713795081,4.372899982,4.937666252,11.03970617,7.540417466,-1.63509231,-13.47436502,-8.920402499,-3.304233499,2.05110583,-1.803232595,2.622780496,2.711206847,4.42525495,2.173818458,6.430026467,3.753872928
