fecha,cambio
01/03/2002,2.3989     
01/04/2002,2.8551     
01/05/2002,3.3287     
01/06/2002,3.6213     
01/07/2002,3.6071     
01/08/2002,3.6207     
01/09/2002,3.6431     
01/10/2002,3.6519     
01/11/2002,3.5256     
01/12/2002,3.4902     
01/01/2003,3.2582     
01/02/2003,3.1632     
01/03/2003,3.0747     
01/04/2003,2.8946     
01/05/2003,2.8357     
01/06/2003,2.8089     
01/07/2003,2.8013     
01/08/2003,2.9285     
01/09/2003,2.9209     
01/10/2003,2.8591     
01/11/2003,2.8839     
01/12/2003,2.9606     
01/01/2004,2.8928     
01/02/2004,2.9319     
01/03/2004,2.8976     
01/04/2004,2.8359     
01/05/2004,2.9197     
01/06/2004,2.9603     
01/07/2004,2.9552     
01/08/2004,3.0136     
01/09/2004,2.9960     
01/10/2004,2.9692     
01/11/2004,2.9546     
01/12/2004,2.9709     
01/01/2005,2.9460     
01/02/2005,2.9153     
01/03/2005,2.9266     
01/04/2005,2.9004     
01/05/2005,2.8909     
01/06/2005,2.8836     
01/07/2005,2.8696     
01/08/2005,2.8880     
01/09/2005,2.9117     
01/10/2005,2.9660     
01/11/2005,2.9672     
01/12/2005,3.0145     
01/01/2006,3.0460     
01/02/2006,3.0689     
01/03/2006,3.0763     
01/04/2006,3.0663     
01/05/2006,3.0535     
01/06/2006,3.0813     
01/07/2006,3.0820     
01/08/2006,3.0790     
01/09/2006,3.1001     
01/10/2006,3.0985     
01/11/2006,3.0757     
01/12/2006,3.0603     
01/01/2007,3.0850     
01/02/2007,3.1026     
01/03/2007,3.1010     
01/04/2007,3.0891     
01/05/2007,3.0800     
01/06/2007,3.0793     
01/07/2007,3.1116     
01/08/2007,3.1524     
01/09/2007,3.1475     
01/10/2007,3.1604     
01/11/2007,3.1359     
01/12/2007,3.1397     
01/01/2008,3.1444     
01/02/2008,3.1583     
01/03/2008,3.1558     
01/04/2008,3.1665     
01/05/2008,3.1511     
01/06/2008,3.0434     
01/07/2008,3.0223     
01/08/2008,3.0333     
01/09/2008,3.0824     
01/10/2008,3.2385     
01/11/2008,3.3292     
01/12/2008,3.4226     
01/01/2009,3.4640     
01/02/2009,3.5115     
01/03/2009,3.6540     
01/04/2009,3.6934     
01/05/2009,3.7245     
01/06/2009,3.7681     
01/07/2009,3.8097     
01/08/2009,3.8392     
01/09/2009,3.8424     
01/10/2009,3.8262     
01/11/2009,3.8110     
01/12/2009,3.8070     
01/01/2010,3.8042     
01/02/2010,3.8512     
01/03/2010,3.8627     
01/04/2010,3.8761     
01/05/2010,3.9020     
01/06/2010,3.9265     
01/07/2010,3.9348     
01/08/2010,3.9376     
01/09/2010,3.9519     
01/10/2010,3.9570     
01/11/2010,3.9676     
01/12/2010,3.9776     
01/01/2011,3.9813     
01/02/2011,4.0220     
01/03/2011,4.0372     
01/04/2011,4.0655     
01/05/2011,4.0839     
01/06/2011,4.0960     
01/07/2011,4.1276     
01/08/2011,4.1680     
01/09/2011,4.2042     
01/10/2011,4.2221     
01/11/2011,4.2601     
01/12/2011,4.2888     
01/01/2012,4.3206     
01/02/2012,4.3463     
01/03/2012,4.3563     
01/04/2012,4.3978     
01/05/2012,4.4504     
01/06/2012,4.4978     
01/07/2012,4.5528     
01/08/2012,4.6098     
01/09/2012,4.6699     
01/10/2012,4.7299     
01/11/2012,4.7974     
01/12/2012,4.8800     
01/01/2013,4.9486     
01/02/2013,5.0111     
01/03/2013,5.0840     
01/04/2013,5.1555     
01/05/2013,5.2399     
01/06/2013,5.3292     
01/07/2013,5.4409     
01/08/2013,5.5814     
01/09/2013,5.7371     
01/10/2013,5.8482     
01/11/2013,6.0149     
01/12/2013,6.3192     
01/01/2014,7.0967     
01/02/2014,7.8565     
01/03/2014,7.9313     
01/04/2014,8.0013     
01/05/2014,8.0427     
01/06/2014,8.1255     
01/07/2014,8.1606     
01/08/2014,8.3164     
01/09/2014,8.4193     
01/10/2014,8.4803     
01/11/2014,8.5140     
01/12/2014,8.5495     
01/01/2015,8.6024     
01/02/2015,8.6859     
01/03/2015,8.7790     
01/04/2015,8.8657     
01/05/2015,8.9487     
01/06/2015,9.0416     
01/07/2015,9.1425     
01/08/2015,9.2433     
01/09/2015,9.3652     
01/10/2015,9.4896     
01/11/2015,9.6272     
01/12/2015,11.4278     
01/01/2016,13.6548     
01/02/2016,14.8146     
01/03/2016,14.9615     
01/04/2016,14.4095     
01/05/2016,14.1377     
01/06/2016,14.1408     
01/07/2016,14.9094     
01/08/2016,14.8498     
01/09/2016,15.1007     
01/10/2016,15.1810     
01/11/2016,15.3399     
01/12/2016,15.8296     
01/01/2017,15.9065     
01/02/2017,15.5983     
01/03/2017,15.5237     
01/04/2017,15.3600     
01/05/2017,15.6981     
01/06/2017,16.1166     
01/07/2017,17.1690     
01/08/2017,17.4165     
01/09/2017,17.2465     
01/10/2017,17.4528     
01/11/2017,17.4925     
01/12/2017,17.7001     
01/01/2018,19.0290     
01/02/2018,19.8409     
01/03/2018,20.2378     
01/04/2018,20.2349     
01/05/2018,23.6687     
01/06/2018,26.5342     
01/07/2018,27.6247     
01/08/2018,30.1245     
01/09/2018,38.5900     
01/10/2018,37.1202     
01/11/2018,36.4590     
01/12/2018,37.8852     
01/01/2019,37.4069     
01/02/2019,38.4086     
01/03/2019,41.3624     
01/04/2019,43.2338     
01/05/2019,44.9332     
01/06/2019,43.7894     
01/07/2019,42.5434
